Id_Venda;Id_Produto;Id_Vendedor;Quantidade;Data_Venda;R$_Unit;R$_Total
1;35;15;12;23/05/2024;80,69;968,28
2;27;5;13;29/03/2024;235,62;3063,06
3;42;8;19;13/06/2025;807;15333
4;39;8;2;11/02/2025;691,28;1382,56
5;12;5;13;09/04/2025;285,41;3710,33
6;10;10;20;23/05/2025;704,31;14086,2
7;44;12;13;15/06/2024;914;11882
8;3;7;11;23/05/2025;148,14;1629,54
9;45;4;2;07/08/2023;;
10;48;8;9;11/02/2023;464,26;4178,34
11;24;1;11;09/09/2023;886,6;9752,6
12;20;5;9;09/06/2025;732,43;6591,87
13;32;14;4;05/03/2024;376,48;1505,92
14;15;3;10;26/11/2023;285,09;2850,9
15;48;8;11;30/05/2023;464,26;5106,86
16;18;12;14;10/02/2023;105,75;1480,5
17;39;11;3;27/02/2024;691,28;2073,84
18;13;8;7;28/03/2025;761,22;5328,54
19;27;12;16;28/08/2024;235,62;3769,92
20;34;14;12;13/09/2024;937,29;11247,48
21;4;9;6;03/02/2023;679,93;4079,58
22;5;5;17;22/03/2023;96,07;1633,19
23;26;3;17;26/03/2024;78,86;1340,62
24;37;1;6;29/07/2023;252,36;1514,16
25;13;15;7;23/06/2025;761,22;5328,54
26;4;4;2;13/01/2025;679,93;1359,86
27;30;1;12;07/09/2023;285,19;3422,28
28;46;4;9;07/10/2023;220,5;1984,5
29;24;14;15;24/01/2023;886,6;13299
30;33;7;4;08/02/2024;673,47;2693,88
31;44;1;8;25/08/2024;914;7312
32;24;8;20;09/12/2024;886,6;17732
33;29;3;16;18/02/2023;867,82;13885,12
34;38;9;12;12/09/2023;385,66;4627,92
35;23;3;9;12/04/2024;831,11;7479,99
36;48;14;3;10/03/2025;464,26;1392,78
37;19;1;13;10/09/2023;607,69;7899,97
38;4;3;19;23/12/2023;679,93;12918,67
39;14;14;8;01/01/2023;701,16;5609,28
40;42;4;7;26/06/2023;807;5649
41;18;11;14;15/08/2023;105,75;1480,5
42;33;1;1;03/08/2023;673,47;673,47
43;31;15;5;16/04/2023;835,77;4178,85
44;42;3;20;20/05/2025;807;16140
45;1;4;9;30/10/2023;120,22;1081,98
46;39;13;10;16/09/2024;691,28;6912,8
47;46;12;9;20/04/2025;220,5;1984,5
48;28;15;13;15/05/2024;985,37;12809,81
49;23;8;9;04/07/2024;831,11;7479,99
50;14;8;10;17/08/2024;701,16;7011,6
51;44;9;20;12/02/2025;914;18280
52;26;10;4;22/01/2024;78,86;315,44
53;1;9;12;15/12/2024;120,22;1442,64
54;36;11;20;20/03/2025;179,43;3588,6
55;39;5;10;15/04/2023;691,28;6912,8
56;44;2;16;30/06/2023;914;14624
57;5;6;9;11/09/2023;96,07;864,63
58;41;6;9;20/02/2024;236,76;2130,84
59;17;11;10;09/03/2025;111,19;1111,9
60;13;3;17;13/05/2025;761,22;12940,74
61;16;15;2;10/01/2023;957,64;1915,28
62;39;7;11;23/04/2023;691,28;7604,08
63;44;3;1;11/07/2023;914;914
64;42;8;10;11/02/2024;807;8070
65;17;15;14;26/05/2024;111,19;1556,66
66;26;7;2;17/03/2025;78,86;157,72
67;38;12;19;01/01/2025;385,66;7327,54
68;13;6;8;21/06/2024;761,22;6089,76
69;44;9;16;19/12/2024;914;14624
70;43;6;17;08/11/2024;275,06;4676,02
71;20;14;6;23/06/2025;732,43;4394,58
72;43;15;18;15/11/2024;275,06;4951,08
73;12;5;4;21/12/2023;285,41;1141,64
74;31;3;9;18/05/2023;835,77;7521,93
75;47;13;18;31/07/2023;401,68;7230,24
76;12;11;11;13/03/2024;285,41;3139,51
77;42;2;8;06/05/2025;807;6456
78;23;4;10;25/07/2023;831,11;8311,1
79;27;13;11;09/08/2024;235,62;2591,82
80;24;5;19;01/02/2024;;
81;19;8;4;31/12/2024;607,69;2430,76
82;31;1;19;10/02/2025;835,77;15879,63
83;38;10;3;27/03/2023;385,66;1156,98
84;31;15;7;27/09/2023;835,77;5850,39
85;33;2;13;19/06/2023;;
86;34;5;14;07/07/2024;937,29;13122,06
87;4;14;5;11/12/2023;679,93;3399,65
88;9;4;11;06/02/2024;206,85;2275,35
89;27;10;15;12/03/2024;235,62;3534,3
90;10;6;6;08/09/2023;704,31;4225,86
91;6;8;11;31/12/2023;41,46;456,06
92;41;3;11;07/08/2023;236,76;2604,36
93;41;1;1;01/10/2024;236,76;236,76
94;29;5;7;23/03/2023;867,82;6074,74
95;11;10;6;08/12/2024;228,24;1369,44
96;32;13;3;24/06/2023;376,48;1129,44
97;9;10;14;04/09/2023;206,85;2895,9
98;41;7;13;19/01/2024;236,76;3077,88
99;28;8;13;07/04/2024;985,37;12809,81
100;1;1;18;12/03/2024;120,22;2163,96
101;13;12;12;24/07/2024;761,22;9134,64
102;1;15;11;14/01/2023;120,22;1322,42
103;34;4;1;29/05/2023;937,29;937,29
104;44;1;8;31/05/2023;914;7312
105;15;12;12;02/06/2023;285,09;3421,08
106;20;3;4;28/10/2023;732,43;2929,72
107;25;9;19;09/04/2023;581,58;11050,02
108;20;3;3;18/03/2024;732,43;2197,29
109;3;5;10;17/04/2023;148,14;1481,4
110;30;12;17;29/03/2025;285,19;4848,23
111;39;9;11;07/04/2023;691,28;7604,08
112;28;15;5;01/10/2023;985,37;4926,85
113;22;15;16;15/03/2024;88,01;1408,16
114;23;13;7;24/01/2025;831,11;5817,77
115;11;15;13;03/10/2023;228,24;2967,12
116;2;4;8;02/09/2024;282,28;2258,24
117;47;3;7;03/06/2024;401,68;2811,76
118;47;1;19;29/03/2025;401,68;7631,92
119;33;3;4;14/08/2024;673,47;2693,88
120;24;12;2;17/12/2024;886,6;1773,2
121;25;15;9;20/05/2024;581,58;5234,22
122;35;10;2;17/04/2025;80,69;161,38
123;39;1;4;10/06/2023;691,28;2765,12
124;42;14;1;15/05/2023;807;807
125;4;12;4;27/04/2025;679,93;2719,72
126;27;8;13;29/05/2025;235,62;3063,06
127;8;9;9;13/07/2023;606;5454
128;31;12;5;28/06/2024;835,77;4178,85
129;14;12;1;27/06/2024;701,16;701,16
130;20;7;4;28/03/2023;732,43;2929,72
131;43;9;9;26/05/2023;275,06;2475,54
132;40;10;5;20/08/2024;687,77;3438,85
133;27;14;4;28/09/2023;235,62;942,48
134;33;12;20;20/10/2024;673,47;13469,4
135;8;5;4;09/02/2023;606;2424
136;7;8;7;06/12/2024;226,45;1585,15
137;39;4;9;31/07/2024;691,28;6221,52
138;34;4;12;24/08/2024;937,29;11247,48
139;46;7;10;07/10/2023;220,5;2205
140;11;1;18;14/04/2023;228,24;4108,32
141;32;15;7;09/05/2024;376,48;2635,36
142;45;15;16;13/09/2023;877,6;14041,6
143;22;4;1;02/04/2025;88,01;88,01
144;1;11;3;23/09/2023;120,22;360,66
145;8;14;19;05/04/2024;;
146;43;8;5;25/05/2023;275,06;1375,3
147;6;13;17;10/06/2024;41,46;704,82
148;5;12;4;01/12/2023;96,07;384,28
149;17;11;8;14/12/2023;111,19;889,52
150;30;5;9;09/08/2024;285,19;2566,71
151;30;1;4;04/03/2024;285,19;1140,76
152;12;14;2;15/08/2024;285,41;570,82
153;19;6;11;17/05/2024;607,69;6684,59
154;28;12;4;26/02/2025;985,37;3941,48
155;7;14;2;13/05/2024;226,45;452,9
156;1;14;5;25/08/2024;120,22;601,1
157;43;11;6;25/03/2023;275,06;1650,36
158;22;6;15;06/01/2025;88,01;1320,15
159;40;5;3;05/11/2024;687,77;2063,31
160;24;14;11;22/03/2025;886,6;9752,6
161;12;2;13;29/01/2025;285,41;3710,33
162;26;8;9;21/08/2023;78,86;709,74
163;25;12;16;19/04/2024;581,58;9305,28
164;27;11;6;05/05/2024;235,62;1413,72
165;8;3;2;22/10/2024;606;1212
166;11;2;14;03/06/2023;228,24;3195,36
167;38;8;19;06/11/2024;385,66;7327,54
168;44;8;6;07/01/2023;914;5484
169;40;7;12;24/12/2024;687,77;8253,24
170;40;1;5;08/07/2023;687,77;3438,85
171;31;15;16;24/09/2024;835,77;13372,32
172;8;15;14;27/10/2024;606;8484
173;29;1;3;04/10/2024;867,82;2603,46
174;17;11;11;07/02/2024;111,19;1223,09
175;1;12;17;02/09/2024;120,22;2043,74
176;48;10;19;02/10/2023;464,26;8820,94
177;15;11;11;21/03/2024;285,09;3135,99
178;34;9;20;27/07/2024;937,29;18745,8
179;7;7;8;28/11/2023;226,45;1811,6
180;31;6;13;06/02/2024;835,77;10865,01
181;10;14;18;11/03/2025;704,31;12677,58
182;40;1;1;18/06/2023;687,77;687,77
183;42;15;6;23/08/2023;807;4842
184;33;14;16;30/12/2023;673,47;10775,52
185;32;14;6;19/02/2024;376,48;2258,88
186;5;13;16;23/08/2024;96,07;1537,12
187;21;4;11;03/02/2025;133,58;1469,38
188;18;1;17;05/04/2023;105,75;1797,75
189;15;9;13;03/03/2025;285,09;3706,17
190;26;14;8;03/11/2023;78,86;630,88
191;6;8;15;11/08/2024;41,46;621,9
192;37;8;3;16/03/2024;252,36;757,08
193;32;8;11;21/09/2023;376,48;4141,28
194;8;8;1;03/02/2025;606;606
195;7;7;14;13/01/2023;226,45;3170,3
196;3;9;18;19/07/2023;148,14;2666,52
197;1;14;3;25/06/2025;120,22;360,66
198;39;10;10;19/04/2023;691,28;6912,8
199;33;9;7;23/06/2024;673,47;4714,29
200;42;11;15;01/07/2024;807;12105
201;22;6;2;13/01/2024;88,01;176,02
202;15;14;15;10/03/2024;285,09;4276,35
203;22;9;20;19/11/2023;88,01;1760,2
204;39;8;12;01/01/2024;691,28;8295,36
205;46;8;4;30/11/2024;220,5;882
206;7;13;8;04/03/2024;226,45;1811,6
207;1;6;12;17/11/2024;120,22;1442,64
208;41;13;10;06/01/2025;236,76;2367,6
209;36;9;12;26/04/2023;179,43;2153,16
210;45;2;2;08/06/2024;877,6;1755,2
211;11;8;5;15/04/2023;228,24;1141,2
212;46;12;14;03/01/2024;220,5;3087
213;7;5;20;04/08/2024;226,45;4529
214;13;4;4;08/05/2023;761,22;3044,88
215;26;4;15;16/02/2025;78,86;1182,9
216;13;12;11;01/06/2025;761,22;8373,42
217;7;13;14;27/03/2024;226,45;3170,3
218;3;15;19;06/11/2023;148,14;2814,66
219;8;13;15;26/07/2024;606;9090
220;30;11;19;04/06/2023;285,19;5418,61
221;33;3;16;24/01/2025;673,47;10775,52
222;1;9;2;09/04/2024;120,22;240,44
223;36;15;14;05/05/2024;179,43;2512,02
224;38;8;17;04/03/2024;385,66;6556,22
225;12;12;19;11/05/2024;285,41;5422,79
226;12;12;5;06/11/2023;285,41;1427,05
227;7;7;20;23/06/2024;226,45;4529
228;39;15;11;29/03/2025;;
229;33;15;13;03/06/2024;673,47;8755,11
230;27;10;8;22/08/2024;235,62;1884,96
231;18;7;11;31/03/2025;;
232;19;8;5;11/12/2023;607,69;3038,45
233;9;7;20;29/01/2024;206,85;4137
234;45;15;17;12/08/2024;877,6;14919,2
235;20;14;18;12/03/2023;732,43;13183,74
236;21;12;18;09/03/2023;133,58;2404,44
237;41;4;7;06/02/2024;236,76;1657,32
238;14;10;10;09/11/2023;701,16;7011,6
239;44;6;5;22/12/2023;914;4570
240;46;11;6;13/06/2024;220,5;1323
241;33;9;11;18/06/2025;673,47;7408,17
242;46;2;12;20/06/2025;220,5;2646
243;36;8;19;01/04/2023;179,43;3409,17
244;37;11;14;20/01/2025;252,36;3533,04
245;44;12;18;05/10/2023;914;16452
246;19;15;14;22/01/2025;607,69;8507,66
247;1;9;4;08/10/2024;120,22;480,88
248;2;7;5;04/01/2025;282,28;1411,4
249;4;11;2;08/08/2023;679,93;1359,86
250;13;5;6;14/10/2024;761,22;4567,32
251;19;11;9;23/04/2025;607,69;5469,21
252;10;14;2;01/07/2023;704,31;1408,62
253;45;13;10;08/02/2023;877,6;8776
254;14;13;18;23/03/2025;701,16;12620,88
255;3;6;15;11/11/2024;148,14;2222,1
256;7;10;18;04/05/2025;226,45;4076,1
257;15;12;18;01/05/2025;285,09;5131,62
258;25;4;17;10/09/2024;581,58;9886,86
259;45;5;2;07/02/2024;877,6;1755,2
260;25;7;14;17/09/2024;581,58;8142,12
261;44;6;18;02/11/2024;914;16452
262;4;1;9;24/12/2023;679,93;6119,37
263;13;10;15;28/08/2023;761,22;11418,3
264;15;15;12;03/08/2023;285,09;3421,08
265;38;9;20;30/01/2023;385,66;7713,2
266;13;13;7;29/07/2023;761,22;5328,54
267;19;8;6;27/06/2024;607,69;3646,14
268;44;2;6;17/11/2024;914;5484
269;12;12;17;05/09/2023;285,41;4851,97
270;8;7;2;08/12/2024;606;1212
271;28;5;18;08/03/2025;985,37;17736,66
272;17;3;6;26/11/2023;111,19;667,14
273;38;14;9;09/08/2023;385,66;3470,94
274;1;6;15;23/05/2023;120,22;1803,3
275;46;15;5;07/05/2025;220,5;1102,5
276;3;3;11;17/02/2025;148,14;1629,54
277;39;1;20;25/03/2024;691,28;13825,6
278;43;5;16;29/09/2024;275,06;4400,96
279;37;9;12;14/01/2023;252,36;3028,32
280;5;13;11;09/12/2024;96,07;1056,77
281;34;4;6;18/06/2025;937,29;5623,74
282;34;2;17;21/03/2025;937,29;15933,93
283;11;7;18;31/03/2024;228,24;4108,32
284;35;7;3;18/10/2023;80,69;242,07
285;23;4;7;13/05/2025;831,11;5817,77
286;43;6;11;17/11/2023;275,06;3025,66
287;24;5;7;10/06/2023;886,6;6206,2
288;40;9;16;26/04/2023;;
289;36;14;1;30/04/2023;179,43;179,43
290;8;11;12;30/01/2023;606;7272
291;29;4;20;05/06/2023;867,82;17356,4
292;40;4;2;17/12/2023;687,77;1375,54
293;44;15;11;14/06/2025;914;10054
294;25;15;4;05/11/2023;581,58;2326,32
295;25;5;18;18/10/2023;581,58;10468,44
296;47;5;1;25/06/2025;401,68;401,68
297;34;14;12;11/06/2025;;
298;33;13;17;02/07/2024;673,47;11448,99
299;29;8;2;22/09/2023;867,82;1735,64
300;19;15;7;18/07/2024;607,69;4253,83
301;21;9;3;25/06/2025;133,58;400,74
302;7;3;18;01/11/2023;226,45;4076,1
303;35;1;3;26/08/2023;80,69;242,07
304;14;11;7;20/01/2025;701,16;4908,12
305;44;7;4;24/03/2023;914;3656
306;14;9;14;02/03/2023;701,16;9816,24
307;42;14;3;17/11/2023;807;2421
308;48;11;5;14/01/2024;464,26;2321,3
309;2;8;11;10/05/2025;282,28;3105,08
310;3;2;3;05/03/2024;148,14;444,42
311;4;3;9;14/02/2023;679,93;6119,37
312;36;2;19;15/10/2024;179,43;3409,17
313;15;15;9;27/12/2023;285,09;2565,81
314;27;7;15;05/11/2023;235,62;3534,3
315;41;7;14;10/08/2024;236,76;3314,64
316;21;1;13;19/01/2023;133,58;1736,54
317;44;2;18;11/03/2025;914;16452
318;1;11;20;13/10/2024;120,22;2404,4
319;5;13;19;25/05/2023;96,07;1825,33
320;3;12;3;17/08/2024;148,14;444,42
321;23;15;17;07/01/2023;831,11;14128,87
322;7;5;10;15/03/2024;226,45;2264,5
323;39;2;10;08/12/2024;691,28;6912,8
324;29;7;13;20/01/2025;867,82;11281,66
325;43;1;16;23/01/2023;275,06;4400,96
326;11;9;8;26/02/2024;228,24;1825,92
327;9;12;13;25/06/2025;206,85;2689,05
328;35;5;5;05/06/2025;80,69;403,45
329;20;11;12;17/01/2025;732,43;8789,16
330;1;9;18;14/10/2023;120,22;2163,96
331;10;2;2;25/10/2024;704,31;1408,62
332;1;10;20;12/06/2025;120,22;2404,4
333;26;9;18;14/02/2024;78,86;1419,48
334;6;5;7;21/03/2025;41,46;290,22
335;48;12;12;15/02/2023;464,26;5571,12
336;14;7;17;06/10/2023;701,16;11919,72
337;10;3;6;21/07/2023;704,31;4225,86
338;15;10;9;21/12/2024;285,09;2565,81
339;13;2;6;29/08/2024;761,22;4567,32
340;43;13;19;25/04/2025;275,06;5226,14
341;4;14;18;08/10/2024;679,93;12238,74
342;30;11;18;29/06/2025;285,19;5133,42
343;5;5;3;11/08/2023;96,07;288,21
344;17;2;7;23/11/2023;111,19;778,33
345;47;10;16;12/08/2024;401,68;6426,88
346;22;6;5;11/07/2024;88,01;440,05
347;43;11;8;14/12/2024;275,06;2200,48
348;7;5;20;02/05/2024;226,45;4529
349;5;15;7;04/05/2025;96,07;672,49
350;21;8;15;12/01/2024;133,58;2003,7
351;22;10;10;24/03/2025;;
352;45;10;5;24/12/2024;877,6;4388
353;37;10;12;09/12/2024;252,36;3028,32
354;21;7;6;04/08/2024;133,58;801,48
355;1;6;8;15/01/2025;120,22;961,76
356;15;12;14;15/11/2023;285,09;3991,26
357;18;14;12;01/06/2023;105,75;1269
358;9;11;11;12/06/2024;206,85;2275,35
359;31;8;15;31/08/2023;835,77;12536,55
360;23;13;10;11/07/2023;831,11;8311,1
361;32;9;4;01/05/2023;376,48;1505,92
362;12;11;20;18/04/2024;285,41;5708,2
363;6;14;9;12/08/2023;41,46;373,14
364;9;15;18;06/10/2023;206,85;3723,3
365;13;5;3;18/08/2024;761,22;2283,66
366;47;2;1;05/04/2025;401,68;401,68
367;33;11;1;10/01/2025;673,47;673,47
368;38;10;13;24/08/2024;385,66;5013,58
369;38;4;2;26/08/2023;385,66;771,32
370;36;5;18;26/06/2024;179,43;3229,74
371;35;8;5;26/03/2024;80,69;403,45
372;24;7;8;13/10/2024;886,6;7092,8
373;38;12;10;16/09/2024;385,66;3856,6
374;9;8;17;18/05/2024;;
375;33;2;13;07/10/2023;673,47;8755,11
376;24;9;1;22/03/2025;886,6;886,6
377;43;4;20;17/05/2023;275,06;5501,2
378;44;3;17;27/06/2025;914;15538
379;9;8;6;03/06/2023;206,85;1241,1
380;12;10;19;31/03/2025;285,41;5422,79
381;43;14;5;22/02/2023;275,06;1375,3
382;48;12;16;16/04/2023;464,26;7428,16
383;23;1;8;02/04/2024;831,11;6648,88
384;32;4;3;03/02/2023;376,48;1129,44
385;17;6;8;10/11/2023;111,19;889,52
386;3;11;7;15/01/2025;148,14;1036,98
387;34;15;12;21/08/2023;937,29;11247,48
388;25;8;15;15/05/2025;581,58;8723,7
389;3;1;11;02/11/2024;148,14;1629,54
390;7;12;17;25/12/2023;226,45;3849,65
391;41;14;9;01/04/2024;236,76;2130,84
392;48;5;19;06/01/2023;464,26;8820,94
393;35;10;6;09/04/2023;80,69;484,14
394;25;11;13;09/03/2024;581,58;7560,54
395;24;10;3;06/04/2025;886,6;2659,8
396;34;5;13;25/12/2023;;
397;15;9;13;19/06/2024;285,09;3706,17
398;23;14;12;11/11/2024;831,11;9973,32
399;32;13;16;09/11/2024;376,48;6023,68
400;39;1;17;05/04/2025;691,28;11751,76
401;9;8;6;21/05/2025;206,85;1241,1
402;15;2;17;04/10/2024;285,09;4846,53
403;42;5;7;06/03/2024;807;5649
404;10;3;6;28/04/2024;704,31;4225,86
405;24;10;4;08/02/2023;886,6;3546,4
406;43;4;14;19/12/2023;275,06;3850,84
407;22;12;4;12/01/2023;88,01;352,04
408;31;11;16;08/04/2024;835,77;13372,32
409;31;4;19;15/04/2025;835,77;15879,63
410;11;11;14;23/01/2025;228,24;3195,36
411;2;4;2;08/11/2023;282,28;564,56
412;9;10;19;15/04/2023;206,85;3930,15
413;11;3;17;07/10/2024;228,24;3880,08
414;3;15;19;18/06/2025;148,14;2814,66
415;10;1;6;23/06/2025;704,31;4225,86
416;17;15;6;20/09/2023;111,19;667,14
417;34;7;20;10/01/2023;937,29;18745,8
418;37;11;1;02/03/2024;252,36;252,36
419;47;12;10;06/04/2025;401,68;4016,8
420;6;4;15;26/05/2024;41,46;621,9
421;39;8;16;14/08/2024;691,28;11060,48
422;11;4;14;03/05/2023;228,24;3195,36
423;39;3;19;24/08/2024;691,28;13134,32
424;12;10;17;05/08/2024;285,41;4851,97
425;17;3;11;26/05/2023;111,19;1223,09
426;30;10;19;23/03/2025;285,19;5418,61
427;5;4;13;08/07/2023;96,07;1248,91
428;25;3;4;12/03/2024;581,58;2326,32
429;2;4;17;24/08/2024;282,28;4798,76
430;33;11;14;16/03/2025;673,47;9428,58
431;10;10;4;07/03/2024;704,31;2817,24
432;12;8;20;29/05/2025;285,41;5708,2
433;39;1;18;22/01/2025;691,28;12443,04
434;33;13;4;02/02/2023;673,47;2693,88
435;6;8;5;19/12/2023;41,46;207,3
436;39;9;1;24/07/2024;691,28;691,28
437;44;11;14;13/06/2024;914;12796
438;34;7;12;07/06/2024;937,29;11247,48
439;3;12;17;01/01/2024;148,14;2518,38
440;28;4;16;19/03/2024;985,37;15765,92
441;25;6;19;02/03/2024;581,58;11050,02
442;48;15;19;27/04/2025;464,26;8820,94
443;7;7;5;28/08/2024;226,45;1132,25
444;17;8;8;22/07/2023;111,19;889,52
445;6;5;20;26/01/2025;41,46;829,2
446;35;7;9;22/08/2023;80,69;726,21
447;13;1;1;24/11/2023;761,22;761,22
448;37;9;4;30/05/2025;252,36;1009,44
449;34;1;13;07/01/2025;937,29;12184,77
450;42;4;11;11/03/2023;807;8877
451;27;6;4;10/08/2023;235,62;942,48
452;10;7;19;14/08/2023;704,31;13381,89
453;17;5;18;12/02/2025;111,19;2001,42
454;28;10;12;17/04/2023;985,37;11824,44
455;40;5;13;09/09/2024;687,77;8941,01
456;14;7;18;27/03/2025;701,16;12620,88
457;36;8;6;31/03/2025;179,43;1076,58
458;24;9;18;04/03/2023;886,6;15958,8
459;31;5;10;30/07/2023;835,77;8357,7
460;37;6;13;02/11/2023;252,36;3280,68
461;48;3;4;08/01/2025;464,26;1857,04
462;48;4;15;26/08/2024;464,26;6963,9
463;45;3;4;30/08/2023;877,6;3510,4
464;14;9;13;26/02/2024;701,16;9115,08
465;22;13;18;21/01/2025;88,01;1584,18
466;40;12;2;15/05/2023;687,77;1375,54
467;11;7;1;09/03/2023;228,24;228,24
468;6;14;5;04/02/2023;41,46;207,3
469;31;15;20;21/01/2024;;
470;28;2;3;05/02/2023;985,37;2956,11
471;17;4;12;29/03/2025;111,19;1334,28
472;6;10;2;03/08/2024;41,46;82,92
473;47;7;13;05/01/2024;401,68;5221,84
474;40;11;17;30/01/2024;687,77;11692,09
475;19;12;20;07/08/2024;607,69;12153,8
476;4;13;6;13/07/2023;679,93;4079,58
477;41;8;15;21/04/2023;236,76;3551,4
478;1;4;17;29/06/2025;120,22;2043,74
479;19;4;2;04/03/2025;607,69;1215,38
480;39;9;17;29/01/2023;691,28;11751,76
481;45;4;20;26/05/2023;877,6;17552
482;11;11;2;20/05/2023;228,24;456,48
483;24;4;1;09/04/2025;886,6;886,6
484;11;2;9;14/10/2023;228,24;2054,16
485;26;6;13;05/02/2024;78,86;1025,18
486;26;10;7;21/01/2025;78,86;552,02
487;34;1;3;08/04/2023;937,29;2811,87
488;6;9;10;12/05/2025;41,46;414,6
489;47;14;18;27/03/2023;401,68;7230,24
490;38;6;12;18/03/2024;385,66;4627,92
491;18;4;20;11/08/2023;105,75;2115
492;13;8;13;07/03/2024;761,22;9895,86
493;37;1;9;06/12/2023;252,36;2271,24
494;12;7;17;29/10/2024;285,41;4851,97
495;7;9;3;16/05/2024;226,45;679,35
496;33;5;11;13/03/2025;673,47;7408,17
497;8;13;17;16/12/2024;606;10302
498;17;15;18;20/06/2025;111,19;2001,42
499;37;5;15;04/03/2024;252,36;3785,4
500;25;10;16;18/04/2023;581,58;9305,28
501;16;13;11;15/05/2023;957,64;10534,04
502;30;11;15;23/04/2025;285,19;4277,85
503;38;14;1;25/12/2023;385,66;385,66
504;31;2;9;18/06/2024;835,77;7521,93
505;5;7;8;19/06/2023;96,07;768,56
506;44;12;8;15/03/2025;914;7312
507;21;7;12;12/08/2023;133,58;1602,96
508;34;9;1;18/01/2023;937,29;937,29
509;45;14;9;21/03/2025;877,6;7898,4
510;16;5;3;14/06/2025;957,64;2872,92
511;26;11;11;24/04/2024;78,86;867,46
512;5;9;6;15/03/2023;96,07;576,42
513;31;6;12;25/03/2024;835,77;10029,24
514;14;15;19;24/01/2024;701,16;13322,04
515;18;3;7;21/07/2023;105,75;740,25
516;32;12;7;22/01/2023;376,48;2635,36
517;16;12;8;04/01/2025;957,64;7661,12
518;17;4;8;30/12/2024;111,19;889,52
519;13;14;8;06/02/2025;761,22;6089,76
520;40;6;5;12/09/2023;687,77;3438,85
521;7;2;3;19/06/2024;226,45;679,35
522;44;11;16;09/08/2024;914;14624
523;40;1;18;24/10/2023;687,77;12379,86
524;3;14;16;02/03/2025;148,14;2370,24
525;24;10;11;11/10/2023;886,6;9752,6
526;32;15;19;13/10/2024;376,48;7153,12
527;18;8;6;19/10/2023;105,75;634,5
528;33;5;13;29/03/2023;673,47;8755,11
529;15;13;19;10/07/2024;285,09;5416,71
530;9;1;17;04/07/2023;206,85;3516,45
531;28;8;18;12/04/2025;;
532;3;9;12;18/01/2025;148,14;1777,68
533;26;14;6;21/05/2025;78,86;473,16
534;30;2;17;05/08/2023;;
535;30;6;1;06/05/2025;285,19;285,19
536;1;11;7;02/10/2023;120,22;841,54
537;25;10;4;18/02/2024;581,58;2326,32
538;21;6;20;08/06/2025;133,58;2671,6
539;17;3;18;17/06/2023;111,19;2001,42
540;17;4;9;07/07/2024;111,19;1000,71
541;31;10;11;01/02/2025;835,77;9193,47
542;24;3;16;18/03/2023;886,6;14185,6
543;28;4;14;21/04/2024;985,37;13795,18
544;45;13;12;24/09/2023;877,6;10531,2
545;24;14;13;27/05/2025;886,6;11525,8
546;18;8;6;03/02/2024;105,75;634,5
547;37;3;19;16/03/2023;252,36;4794,84
548;44;4;4;05/09/2024;914;3656
549;47;5;8;18/05/2024;401,68;3213,44
550;36;7;13;03/10/2024;179,43;2332,59
551;13;3;5;09/01/2023;761,22;3806,1
552;31;13;1;20/05/2025;835,77;835,77
553;12;7;16;28/02/2023;285,41;4566,56
554;9;15;17;15/04/2024;206,85;3516,45
555;35;12;11;28/12/2024;80,69;887,59
556;32;5;9;16/02/2025;376,48;3388,32
557;36;14;19;08/04/2023;179,43;3409,17
558;4;7;4;18/06/2024;679,93;2719,72
559;45;3;2;04/08/2024;877,6;1755,2
